,Unnamed: 0,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Payment_Behaviour,Monthly_Balance,Credit_Score,Amount_invested_monthly
7,12582,21,6,50352.09,4315.0075,3,7,15,2,2156,7,9.0,18.13,7.0,2,1385.99,40.02107385372498,9,0,60.32243451021736,1,515.2787745093424,1,105.89954098044036
9,74463,20,9,14531.07,1027.9225,4,5,9,4,181,26,10.0,9.77,4.0,3,268.56,27.42796319707417,34,0,34.462630753768394,5,273.26103540851744,2,85.0685838377142
18,91676,18,4,13347.835,1064.3195833333332,5,7,19,2,472,9,21.0,18.66,4.0,3,536.5,28.046912417558303,15,1,15.75804685932174,5,297.80536905394973,1,82.86854242006186
20,91055,46,5,31104.32,2871.026666666666,6,5,12,1,233,13,14.0,6.8,6.0,2,1354.0,35.64452473021207,24,0,22.68715163837837,0,463.5890806732472,2,40.82643435504103
23,77343,45,4,27318.32,2158.526666666666,6,4,7,3,1778,11,11.0,12.45,11.0,3,1370.22,36.72049058704718,34,1,60.32390941537293,5,281.2602285590757,2,164.26852869221804
28,39539,36,14,76082.25,6082.1875,6,5,13,3,403,7,17.0,7.8,4.0,2,847.11,30.10666771586132,26,1,186.464782863576,0,574.6855894381854,2,87.0683776982385
30,66940,40,15,32757.76,2631.813333333333,5,6,20,2,1198,14,20.0,4.28,5.0,2,504.73,36.04330747764427,8,0,47.15487890546197,1,400.8882733975991,2,65.13818103027229
35,76023,26,13,22419.74,1760.311666666667,4,7,9,5,1694,19,14.0,11.47,11.0,2,346.91,27.52268950342841,6,1,69.4940480169649,2,251.84269716187697,2,114.6944214878248
47,74127,26,11,13164.265,1034.0220833333333,6,4,8,7,313,27,15.0,15.24,6.0,2,697.28,26.578930377054853,4,1,64.61912691766695,5,259.1177485678594,2,69.66533284780692
56,83253,31,3,126353.04,10635.42,4,7,19,2,476,10,11.0,9.43,3.0,2,859.77,26.57859747360272,25,0,167.04391024040052,4,678.1100975810168,2,498.387992178583
57,59487,40,8,56313.96,4860.83,4,5,8,2,1193,9,9.0,7.88,1.0,1,1333.22,34.32814697042686,21,0,75.00221722202626,0,604.5938667416121,2,46.48691603636159
58,58122,39,14,17621.48,1401.456666666667,7,4,19,2,474,12,10.0,10.81,5.0,2,167.19,34.41194508568533,30,1,23.39428879009281,5,304.41329780727256,2,102.33808006930134
60,31278,26,14,12255.61,868.3008333333332,8,6,19,2,1191,19,19.0,8.23,5.0,2,494.31,34.20540106670859,11,1,11.637322964619509,2,291.98953221359807,2,43.203228155115745
80,71225,42,3,16287.14,1097.2616666666663,8,5,26,2,1438,9,17.0,17.39,6.0,3,1802.72,36.00392070584715,11,1,20.49047230035986,5,254.10171078777768,1,125.13398357852913
84,69544,20,1,104509.53,8791.1275,8,7,5,3,869,29,15.0,17.31,7.0,2,781.83,29.814013030864142,20,1,176.24348698377483,1,639.6133352797149,2,313.25592773651044
86,76502,37,2,54315.46,4473.288333333333,8,4,5,4,656,28,20.0,17.39,5.0,2,286.69,28.378618590033067,13,1,109.07534555591047,0,539.0919260327099,2,39.16156174471283
90,61998,24,12,82405.98,7093.165,5,5,12,2,1192,27,10.0,1.25,4.0,2,218.44,34.99382631219477,20,0,72.63396894042505,4,613.6701970739517,0,303.01233398562323
